Rating matrix file path : [../rrnnglobalv2/data1M/rating_matrix.txt]
Training data file : [../rrnnglobalv2/data1M/train.data]
Testing data file : [../rrnnglobalv2/data1M/test.data]
Model configuration:
{'num_users': 6040, 'lr': 0.001, 'num_units': 512, 'rho': 0.9, 'chunk_size': 10, 'num_items': 3706, 'k': 5, 'cell_act': 'tanh', 'batch_size': 5}
Epoch 81: Test RMSE 1.90191514694
Epoch 82: Training error 10167.82189
Epoch 82: Test error 7009.30597614
Epoch 82: Training RMSE 0.646901714066
Epoch 82: Test RMSE 1.89455407742
Epoch 83: Training error 10143.2350173
Epoch 83: Test error 6988.07115317
Epoch 83: Training RMSE 0.644520695831
Epoch 83: Test RMSE 1.89152844811
Epoch 84: Training error 10130.5704633
Epoch 84: Test error 7001.27556908
Epoch 84: Training RMSE 0.644099298211
Epoch 84: Test RMSE 1.88456330828
Epoch 85: Training error 10119.0093341
Epoch 85: Test error 6995.42161132
Epoch 85: Training RMSE 0.644614589451
Epoch 85: Test RMSE 1.88026301302
Epoch 86: Training error 10111.6300128
Epoch 86: Test error 6978.05479577
Epoch 86: Training RMSE 0.64373541635
Epoch 86: Test RMSE 1.87689638481
Epoch 87: Training error 10118.8636516
Epoch 87: Test error 6987.40314405
Epoch 87: Training RMSE 0.644477620786
Epoch 87: Test RMSE 1.8640149192
Epoch 88: Training error 10128.7883031
Epoch 88: Test error 6968.28716149
Epoch 88: Training RMSE 0.643028621997
Epoch 88: Test RMSE 1.86111211753
Epoch 89: Training error 10120.3258978
Epoch 89: Test error 6966.21787501
Epoch 89: Training RMSE 0.641469028905
Epoch 89: Test RMSE 1.8543600096
Epoch 90: Training error 10103.2638982
Epoch 90: Test error 6969.62851756
Epoch 90: Training RMSE 0.641065546204
Epoch 90: Test RMSE 1.85737057757
Epoch 91: Training error 10095.0670062
Epoch 91: Test error 6993.48679263
Epoch 91: Training RMSE 0.639778072318
Epoch 91: Test RMSE 1.84913532454
Epoch 92: Training error 10089.6912016
Epoch 92: Test error 6970.35197519
Epoch 92: Training RMSE 0.641085466544
Epoch 92: Test RMSE 1.84569018053
Epoch 93: Training error 10107.8270361
Epoch 93: Test error 6960.84267975
Epoch 93: Training RMSE 0.641562503697
Epoch 93: Test RMSE 1.84370814391
Epoch 94: Training error 10118.5567192
Epoch 94: Test error 6978.36980701
Epoch 94: Training RMSE 0.641426614553
Epoch 94: Test RMSE 1.84247543387
Epoch 95: Training error 10128.3450152
Epoch 95: Test error 6986.45731877
Epoch 95: Training RMSE 0.641620485844
Epoch 95: Test RMSE 1.83257842904
Epoch 96: Training error 10099.0997892
Epoch 96: Test error 6980.28594981
Epoch 96: Training RMSE 0.640820388731
Epoch 96: Test RMSE 1.82734087076
Epoch 97: Training error 10066.6061373
Epoch 97: Test error 6976.98198717
Epoch 97: Training RMSE 0.639739885421
Epoch 97: Test RMSE 1.82583617211
Epoch 98: Training error 10040.7505936
Epoch 98: Test error 6970.24337057
Epoch 98: Training RMSE 0.639672184864
Epoch 98: Test RMSE 1.81843742846
Epoch 99: Training error 10098.8971528
Epoch 99: Test error 6961.95029585
Epoch 99: Training RMSE 0.640549133556
Epoch 99: Test RMSE 1.82069767266
Epoch 100: Training error 10071.0610753
Epoch 100: Test error 6943.87136733
Epoch 100: Training RMSE 0.638002574493
Epoch 100: Test RMSE 1.8111995381
